,movie_name,movie_rating,movie_genre,movie_director,movie_actor,movie_genre_split,movie_director_split,movie_actor_split
0,태극기 휘날리며,9.1,['전쟁'],강제규,"['장동건', '원빈']",전쟁,강제규,장동건 원빈
1,트로이,8.4,"['액션', '로맨스', '멜로']",볼프강 페터슨,"['브래드 피트', '올랜도 블룸']",액션 로맨스 멜로,볼프강페터슨,브래드피트 올랜도블룸
2,내 머리 속의 지우개,8.7,"['로맨스', '멜로', '드라마']",이재한,"['정우성', '손예진']",로맨스 멜로 드라마,이재한,정우성 손예진
3,귀신이 산다,6.4,"['코미디', '판타지', '공포']",김상진,"['차승원', '장서희']",코미디 판타지 공포,김상진,차승원 장서희
4,투모로우,8.3,"['액션', '스릴러', 'SF', '어드벤처', '드라마']",롤랜드 에머리히,"['데니스 퀘이드', '제이크 질렌할']",액션 스릴러 SF 어드벤처 드라마,롤랜드에머리히,데니스퀘이드 제이크질렌할
5,우리 형,8.3,['드라마'],안권태,"['원빈', '신하균', '김해숙']",드라마,안권태,원빈 신하균 김해숙
6,해리포터와 아즈카반의 죄수,8.4,"['판타지', '어드벤처']",알폰소 쿠아론,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",판타지 어드벤처,알폰소쿠아론,다니엘래드클리프 엠마왓슨 루퍼트그린트
7,슈렉2,7.6,"['코미디', '어드벤처', '애니메이션']",앤드류 아담슨,"['마이크 마이어스', '에디 머피', '카메론 디아즈']",코미디 어드벤처 애니메이션,앤드류아담슨,마이크마이어스 에디머피 카메론디아즈
8,실미도,8.0,"['스릴러', '전쟁']",강우석,"['설경구', '안성기', '허준호', '정재영']",스릴러 전쟁,강우석,설경구 안성기 허준호 정재영
9,스파이더맨 2,8.5,"['액션', '스릴러', 'SF']",샘 레이미,"['토비 맥과이어', '커스틴 던스트']",액션 스릴러 SF,샘레이미,토비맥과이어 커스틴던스트
10,바람의 파이터,7.9,"['액션', '드라마']",양윤호,['양동근'],액션 드라마,양윤호,양동근
11,오페라의 유령,8.6,"['로맨스', '멜로', '뮤지컬']",조엘 슈마허,"['제라드 버틀러', '에미 로섬', '패트릭 윌슨']",로맨스 멜로 뮤지컬,조엘슈마허,제라드버틀러 에미로섬 패트릭윌슨
12,내 여자친구를 소개합니다,7.3,"['코미디', '로맨스', '멜로']",곽재용,"['전지현', '장혁']",코미디 로맨스 멜로,곽재용,전지현 장혁
13,늑대의 유혹,7.7,"['로맨스', '멜로', '액션']",김태균,"['조한선', '강동원', '이청아']",로맨스 멜로 액션,김태균,조한선 강동원 이청아
14,가족,8.0,['드라마'],이정철,"['수애', '주현', '박지빈']",드라마,이정철,수애 주현 박지빈
15,시실리 2km,7.9,"['코미디', '공포']",신정원,"['임창정', '권오중', '임은경', '변희봉']",코미디 공포,신정원,임창정 권오중 임은경 변희봉
16,"아이, 로봇",8.3,"['액션', '미스터리', '스릴러', 'SF']",알렉스 프로야스,['윌 스미스'],액션 미스터리 스릴러 SF,알렉스프로야스,윌스미스
17,S 다이어리,6.2,"['코미디', '로맨스', '멜로']",권종관,['김선아'],코미디 로맨스 멜로,권종관,김선아
18,알포인트,8.4,"['공포', '전쟁']",공수창,['감우성'],공포 전쟁,공수창,감우성
19,주홍글씨,6.0,"['로맨스', '멜로', '스릴러']",변혁,"['한석규', '이은주']",로맨스 멜로 스릴러,변혁,한석규 이은주
20,연인,7.5,['드라마'],장예모,"['유덕화', '금성무', '장쯔이']",드라마,장예모,유덕화 금성무 장쯔이
21,브리짓 존스의 일기2 : 열정과 애정,8.0,"['코미디', '로맨스', '멜로']",비반 키드론,"['르네 젤위거', '휴 그랜트', '콜린 퍼스']",코미디 로맨스 멜로,비반키드론,르네젤위거 휴그랜트 콜린퍼스
22,어린 신부,7.2,"['코미디', '로맨스', '멜로']",김호준,"['김래원', '문근영']",코미디 로맨스 멜로,김호준,김래원 문근영
23,터미널,8.7,"['코미디', '로맨스', '멜로']",스티븐 스필버그,"['톰 행크스', '캐서린 제타 존스']",코미디 로맨스 멜로,스티븐스필버그,톰행크스 캐서린제타존스
24,하울의 움직이는 성,9.1,"['애니메이션', '판타지', '로맨스', '멜로']",미야자키 하야오,"['바이쇼 치에코', '기무라 타쿠야']",애니메이션 판타지 로맨스 멜로,미야자키하야오,바이쇼치에코 기무라타쿠야
25,나비효과,9.1,"['스릴러', '판타지']",에릭 브레스,"['애쉬튼 커처', '멜로라 월터스', '에이미 스마트']",스릴러 판타지,에릭브레스,애쉬튼커처 멜로라월터스 에이미스마트
26,역도산,6.3,['드라마'],송해성,['설경구'],드라마,송해성,설경구
27,범죄의 재구성,8.6,"['범죄', '스릴러']",최동훈,"['박신양', '백윤식', '염정아']",범죄 스릴러,최동훈,박신양 백윤식 염정아
28,반 헬싱,8.0,"['액션', '판타지']",스티븐 소머즈,"['휴 잭맨', '케이트 베킨세일']",액션 판타지,스티븐소머즈,휴잭맨 케이트베킨세일
29,이프 온리,8.8,"['판타지', '로맨스', '멜로', '코미디', '드라마']",길 정거,"['제니퍼 러브 휴이트', '폴 니콜스']",판타지 로맨스 멜로 코미디 드라마,길정거,제니퍼러브휴이트 폴니콜스
30,여선생 VS 여제자,8.2,['코미디'],장규성,"['염정아', '이세영']",코미디,장규성,염정아 이세영
31,패션 오브 크라이스트,8.6,['드라마'],멜 깁슨,['제임스 카비젤'],드라마,멜깁슨,제임스카비젤
32,아라한 장풍대작전,6.9,"['코미디', '액션']",류승완,"['류승범', '윤소이', '안성기']",코미디 액션,류승완,류승범 윤소이 안성기
33,킹 아더,7.8,"['액션', '어드벤처']",안톤 후쿠아,"['클라이브 오웬', '키이라 나이틀리', '스텔란 스카스가드', '스티븐 딜레인']",액션 어드벤처,안톤후쿠아,클라이브오웬 키이라나이틀리 스텔란스카스가드 스티븐딜레인
34,내 남자의 로맨스,7.3,"['코미디', '로맨스', '멜로']",박제현,"['김정은', '김상경']",코미디 로맨스 멜로,박제현,김정은 김상경
35,효자동 이발사,8.1,['드라마'],임찬상,"['송강호', '문소리']",드라마,임찬상,송강호 문소리
36,아는 여자,8.8,"['코미디', '로맨스', '멜로']",장진,"['정재영', '이나영']",코미디 로맨스 멜로,장진,정재영 이나영
37,"달마야, 서울 가자",5.3,['코미디'],육상효,"['신현준', '정진영', '이원종', '이문식']",코미디,육상효,신현준 정진영 이원종 이문식
38,신부수업,6.9,"['코미디', '로맨스', '멜로']",허인무,"['권상우', '하지원']",코미디 로맨스 멜로,허인무,권상우 하지원
39,블레이드 3,7.0,"['액션', '스릴러']",데이빗 S. 고이어,['웨슬리 스나입스'],액션 스릴러,데이빗S.고이어,웨슬리스나입스
40,슈퍼스타 감사용,8.1,['드라마'],김종현,['이범수'],드라마,김종현,이범수
41,인크레더블,8.8,"['애니메이션', '어드벤처', '가족']",브래드 버드,"['크레이그 T. 넬슨', '홀리 헌터', '사무엘 L. 잭슨', '제이슨 리']",애니메이션 어드벤처 가족,브래드버드,크레이그T.넬슨 홀리헌터 사무엘L.잭슨 제이슨리
42,분신사바,7.5,['공포'],안병기,"['김규리', '이세은', '이유리']",공포,안병기,김규리 이세은 이유리
43,말죽거리 잔혹사,7.9,"['로맨스', '멜로', '액션', '드라마']",유하,"['권상우', '이정진', '한가인']",로맨스 멜로 액션 드라마,유하,권상우 이정진 한가인
44,콜래트럴,7.8,"['범죄', '스릴러']",마이클 만,"['톰 크루즈', '제이미 폭스']",범죄 스릴러,마이클만,톰크루즈 제이미폭스
45,투 가이즈,7.7,['코미디'],박헌수,"['박중훈', '차태현']",코미디,박헌수,박중훈 차태현
46,령,6.6,['공포'],김태경,"['김하늘', '류진']",공포,김태경,김하늘 류진
47,돈 텔 파파,6.8,"['코미디', '드라마']",이상훈,"['정웅인', '유승호']",코미디 드라마,이상훈,정웅인 유승호
48,누구나 비밀은 있다,5.5,"['코미디', '로맨스', '멜로']",장현수,"['이병헌', '최지우', '추상미', '김효진']",코미디 로맨스 멜로,장현수,이병헌 최지우 추상미 김효진
49,꽃피는 봄이 오면,8.8,"['로맨스', '멜로', '드라마']",류장하,['최민식'],로맨스 멜로 드라마,류장하,최민식
50,웰컴 투 동막골,9.1,"['코미디', '전쟁', '드라마']",배종,"['정재영', '신하균', '강혜정']",코미디 전쟁 드라마,배종,정재영 신하균 강혜정
51,가문의 위기(가문의 영광2),7.0,['코미디'],정용기,"['신현준', '김원희']",코미디,정용기,신현준 김원희
52,말아톤,8.8,"['가족', '드라마']",정윤철,"['조승우', '김미숙']",가족 드라마,정윤철,조승우 김미숙
53,해리포터와 불의 잔,9.2,"['판타지', '어드벤처']",마이크 뉴웰,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",판타지 어드벤처,마이크뉴웰,다니엘래드클리프 엠마왓슨 루퍼트그린트
54,아일랜드,8.7,"['스릴러', 'SF']",마이클 베이,['이완 맥그리거'],스릴러 SF,마이클베이,이완맥그리거
55,공공의 적 2,6.6,"['드라마', '범죄']",강우석,"['설경구', '정준호']",드라마 범죄,강우석,설경구 정준호
56,친절한 금자씨,7.4,"['스릴러', '드라마']",박찬욱,['이영애'],스릴러 드라마,박찬욱,이영애
57,태풍,7.5,['액션'],곽경택,"['장동건', '이정재', '이미연']",액션,곽경택,장동건 이정재 이미연
58,미스터 & 미세스 스미스,8.5,"['액션', '로맨스', '멜로']",더그 라이만,"['브래드 피트', '안젤리나 졸리']",액션 로맨스 멜로,더그라이만,브래드피트 안젤리나졸리
59,너는 내 운명,8.9,"['로맨스', '멜로']",박진표,"['전도연', '황정민']",로맨스 멜로,박진표,전도연 황정민
60,우주전쟁,6.9,"['액션', 'SF']",스티븐 스필버그,['톰 크루즈'],액션 SF,스티븐스필버그,톰크루즈
61,마파도,6.8,['코미디'],추창민,"['이문식', '이정진']",코미디,추창민,이문식 이정진
62,내 생애 가장 아름다운 일주일,8.5,"['로맨스', '멜로', '코미디']",민규동,"['주현', '오미희', '천호진', '진태현', '엄정화', '황정민', '김수로', '전혜진', '임창정', '서영희', '윤진서', '정경호']",로맨스 멜로 코미디,민규동,주현 오미희 천호진 진태현 엄정화 황정민 김수로 전혜진 임창정 서영희 윤진서 정경호
63,킹콩,8.7,"['액션', '판타지', '어드벤처']",피터 잭슨,['나오미 왓츠'],액션 판타지 어드벤처,피터잭슨,나오미왓츠
64,박수칠 때 떠나라,8.1,"['코미디', '미스터리', '드라마']",장진,"['차승원', '신하균']",코미디 미스터리 드라마,장진,차승원 신하균
65,광식이 동생 광태,7.7,"['코미디', '로맨스', '멜로']",김현석,"['김주혁', '봉태규']",코미디 로맨스 멜로,김현석,김주혁 봉태규
66,혈의 누,7.8,"['범죄', '스릴러', '미스터리']",김대승,['차승원'],범죄 스릴러 미스터리,김대승,차승원
67,댄서의 순정,7.6,"['코미디', '로맨스', '멜로']",박영훈,"['문근영', '박건형']",코미디 로맨스 멜로,박영훈,문근영 박건형
68,콘스탄틴,8.3,"['액션', '판타지']",프란시스 로렌스,['키아누 리브스'],액션 판타지,프란시스로렌스,키아누리브스
69,잠복근무,7.1,"['코미디', '액션']",박광춘,"['김선아', '공유', '남상미']",코미디 액션,박광춘,김선아 공유 남상미
70,연애의 목적,8.0,"['코미디', '로맨스', '멜로']",한재림,"['박해일', '강혜정']",코미디 로맨스 멜로,한재림,박해일 강혜정
71,하울의 움직이는 성,9.1,"['애니메이션', '판타지', '로맨스', '멜로']",미야자키 하야오,"['바이쇼 치에코', '기무라 타쿠야']",애니메이션 판타지 로맨스 멜로,미야자키하야오,바이쇼치에코 기무라타쿠야
72,스타워즈 에피소드3 - 시스의복수,7.9,"['액션', 'SF']",조지 루카스,"['이완 맥그리거', '나탈리 포트만', '헤이든 크리스텐슨']",액션 SF,조지루카스,이완맥그리거 나탈리포트만 헤이든크리스텐슨
73,주먹이 운다(Crying Fist),7.4,['드라마'],류승완,"['최민식', '류승범']",드라마,류승완,최민식 류승범
74,마다가스카,7.6,"['코미디', '가족', '판타지', '어드벤처', '애니메이션']",에릭 다넬,"['벤 스틸러', '크리스 록']",코미디 가족 판타지 어드벤처 애니메이션,에릭다넬,벤스틸러 크리스록
75,야수와 미녀,8.5,"['코미디', '로맨스', '멜로']",이계벽,"['류승범', '신민아']",코미디 로맨스 멜로,이계벽,류승범 신민아
76,간 큰 가족,7.6,"['코미디', '드라마']",조명남,"['감우성', '김수로', '신구']",코미디 드라마,조명남,감우성 김수로 신구
77,찰리와 초콜릿 공장,8.8,"['코미디', '판타지']",팀 버튼,"['조니 뎁', '프레디 하이모어']",코미디 판타지,팀버튼,조니뎁 프레디하이모어
78,작업의 정석,7.1,"['코미디', '로맨스', '멜로']",오기환,"['손예진', '송일국']",코미디 로맨스 멜로,오기환,손예진 송일국
79,킹덤 오브 헤븐,8.6,"['액션', '전쟁']",리들리 스콧,['올랜도 블룸'],액션 전쟁,리들리스콧,올랜도블룸
80,B형 남자친구,4.7,"['코미디', '로맨스', '멜로']",최석원,"['이동건', '한지혜']",코미디 로맨스 멜로,최석원,이동건 한지혜
81,달콤한 인생,8.7,"['액션', '드라마']",김지운,['이병헌'],액션 드라마,김지운,이병헌
82,분홍신,6.7,"['공포', '스릴러']",김용균,"['김혜수', '김성수']",공포 스릴러,김용균,김혜수 김성수
83,알렉산더,7.8,"['액션', '전쟁', '어드벤처']",올리버 스톤,"['콜린 파렐', '안젤리나 졸리', '안소니 홉킨스']",액션 전쟁 어드벤처,올리버스톤,콜린파렐 안젤리나졸리 안소니홉킨스
84,미스터 소크라테스,7.9,"['범죄', '액션']",최진원,['김래원'],범죄 액션,최진원,김래원
85,내셔널 트레져,8.2,"['액션', '미스터리', '스릴러', '어드벤처', '드라마']",존 터틀타웁,['니콜라스 케이지'],액션 미스터리 스릴러 어드벤처 드라마,존터틀타웁,니콜라스케이지
86,연애술사,6.9,"['코미디', '로맨스', '멜로']",천세환,"['박진희', '연정훈']",코미디 로맨스 멜로,천세환,박진희 연정훈
87,파송송 계란탁,7.7,"['코미디', '드라마']",오상훈,"['임창정', '이인성']",코미디 드라마,오상훈,임창정 이인성
88,천군,7.8,"['액션', 'SF', '시대극']",민준기,"['박중훈', '김승우', '황정민', '공효진']",액션 SF 시대극,민준기,박중훈 김승우 황정민 공효진
89,"안녕, 형아",8.1,['드라마'],임태형,"['박지빈', '배종옥', '박원상']",드라마,임태형,박지빈 배종옥 박원상
90,형사 Duelist,7.7,"['액션', '시대극']",이명세,"['하지원', '강동원', '안성기']",액션 시대극,이명세,하지원 강동원 안성기
91,새드무비,8.2,"['로맨스', '멜로', '드라마']",권종관,"['정우성', '임수정', '차태현', '손태영', '염정아', '여진구', '신민아', '이기우']",로맨스 멜로 드라마,권종관,정우성 임수정 차태현 손태영 염정아 여진구 신민아 이기우
92,샤크,7.6,"['코미디', '가족', '애니메이션']",비보 베르즈롱,X,코미디 가족 애니메이션,비보베르즈롱,X
93,그때 그 사람들,8.6,"['코미디', '미스터리']",임상수,"['한석규', '백윤식']",코미디 미스터리,임상수,한석규 백윤식
94,남극일기,5.2,"['미스터리', '공포']",임필성,"['송강호', '유지태']",미스터리 공포,임필성,송강호 유지태
95,배트맨 비긴즈,8.3,"['범죄', '액션']",크리스토퍼 놀란,['크리스찬 베일'],범죄 액션,크리스토퍼놀란,크리스찬베일
96,오로라 공주,8.4,"['스릴러', '드라마']",방은진,"['엄정화', '문성근']",스릴러 드라마,방은진,엄정화 문성근
97,강력 3반,7.8,"['액션', '스릴러', '범죄']",손희창,"['김민준', '허준호']",액션 스릴러 범죄,손희창,김민준 허준호
98,쿵푸 허슬,8.7,"['코미디', '액션']",주성치,['주성치'],코미디 액션,주성치,주성치
99,몽정기2,4.4,['코미디'],정초신,"['이지훈', '강은비', '전혜빈', '박슬기']",코미디,정초신,이지훈 강은비 전혜빈 박슬기
100,괴물,9.0,"['스릴러', '가족', '드라마', 'SF']",봉준호,"['송강호', '박해일', '배두나', '변희봉', '고아성']",스릴러 가족 드라마 SF,봉준호,송강호 박해일 배두나 변희봉 고아성
101,왕의 남자,9.2,"['시대극', '드라마']",이준익,"['감우성', '정진영', '강성연', '이준기']",시대극 드라마,이준익,감우성 정진영 강성연 이준기
102,타짜,8.9,['드라마'],최동훈,"['조승우', '김혜수', '백윤식', '유해진']",드라마,최동훈,조승우 김혜수 백윤식 유해진
103,미션 임파서블 3,8.6,"['액션', '어드벤처']",J.J. 에이브람스,"['톰 크루즈', '필립 세이모어 호프만']",액션 어드벤처,J.J.에이브람스,톰크루즈 필립세이모어호프만
104,투사부일체,5.4,['코미디'],김동원,['정준호'],코미디,김동원,정준호
105,캐리비안의 해적 : 망자의 함,9.2,"['액션', '어드벤처']",고어 버빈스키,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리']",액션 어드벤처,고어버빈스키,조니뎁 올랜도블룸 키이라나이틀리
106,한반도,7.5,"['액션', '드라마']",강우석,"['차인표', '조재현', '안성기', '문성근', '강신일']",액션 드라마,강우석,차인표 조재현 안성기 문성근 강신일
107,미녀는 괴로워,8.9,['코미디'],김용화,"['김아중', '주진모']",코미디,김용화,김아중 주진모
108,다빈치 코드,8.0,"['미스터리', '스릴러']",론 하워드,"['톰 행크스', '오드리 토투']",미스터리 스릴러,론하워드,톰행크스 오드리토투
109,가문의 부활 - 가문의 영광3,4.3,['코미디'],정용기,"['신현준', '김원희', '김수미', '탁재훈']",코미디,정용기,신현준 김원희 김수미 탁재훈
110,우리들의 행복한 시간,9.2,['드라마'],송해성,"['강동원', '이나영']",드라마,송해성,강동원 이나영
111,박물관이 살아있다!,8.3,"['코미디', '어드벤처']",숀 레비,['벤 스틸러'],코미디 어드벤처,숀레비,벤스틸러
112,포세이돈,7.4,"['어드벤처', '드라마']",볼프강 페터슨,"['조쉬 루카스', '에미 로섬']",어드벤처 드라마,볼프강페터슨,조쉬루카스 에미로섬
113,음란서생,7.5,"['코미디', '드라마']",김대우,"['한석규', '이범수', '김민정']",코미디 드라마,김대우,한석규 이범수 김민정
114,"달콤, 살벌한 연인",8.1,"['로맨스', '멜로', '스릴러']",손재곤,"['박용우', '최강희']",로맨스 멜로 스릴러,손재곤,박용우 최강희
115,맨발의 기봉이,8.1,['드라마'],권수경,"['신현준', '김수미']",드라마,권수경,신현준 김수미
116,비열한 거리,8.8,"['액션', '드라마']",유하,['조인성'],액션 드라마,유하,조인성
117,엑스맨 : 최후의 전쟁,8.0,"['액션', 'SF']",브렛 라트너,"['휴 잭맨', '할리 베리', '이안 맥켈런', '패트릭 스튜어트', '팜케 얀센', '켈시 그래머', '제임스 마스던', '레베카 로미즌', '숀 애쉬모어', '비니 존스', '안나 파킨', '아론 스탠포드']",액션 SF,브렛라트너,휴잭맨 할리베리 이안맥켈런 패트릭스튜어트 팜케얀센 켈시그래머 제임스마스던 레베카로미즌 숀애쉬모어 비니존스 안나파킨 아론스탠포드
118,사생결단,8.5,"['범죄', '액션']",최호,"['황정민', '류승범']",범죄 액션,최호,황정민 류승범
119,수퍼맨 리턴즈,7.1,"['액션', 'SF', '어드벤처']",브라이언 싱어,"['브랜든 루스', '케빈 스페이시', '케이트 보스워스']",액션 SF 어드벤처,브라이언싱어,브랜든루스 케빈스페이시 케이트보스워스
120,구세주,7.0,"['코미디', '로맨스', '멜로', '액션']",김정우,"['최성국', '신이']",코미디 로맨스 멜로 액션,김정우,최성국 신이
121,라디오 스타,9.2,['드라마'],이준익,"['박중훈', '안성기']",드라마,이준익,박중훈 안성기
122,청춘만화,7.1,"['코미디', '로맨스', '멜로']",이한,"['권상우', '김하늘']",코미디 로맨스 멜로,이한,권상우 김하늘
123,흡혈형사 나도열,6.6,"['코미디', '액션']",이시명,['김수로'],코미디 액션,이시명,김수로
124,"나니아 연대기-사자,마녀 그리고 옷장",7.5,"['가족', '판타지', '어드벤처']",앤드류 아담슨,"['안나 포플웰', '조지 헨리', '윌리암 모즐리', '스캔다 케인즈']",가족 판타지 어드벤처,앤드류아담슨,안나포플웰 조지헨리 윌리암모즐리 스캔다케인즈
125,거룩한 계보,8.4,['드라마'],장진,"['정재영', '정준호']",드라마,장진,정재영 정준호
126,악마는 프라다를 입는다,8.4,"['코미디', '드라마']",데이비드 프랭클,"['메릴 스트립', '앤 해서웨이']",코미디 드라마,데이비드프랭클,메릴스트립 앤해서웨이
127,해바라기,9.0,['드라마'],강석범,"['김래원', '김해숙']",드라마,강석범,김래원 김해숙
128,각설탕,9.1,['드라마'],이환경,['임수정'],드라마,이환경,임수정
129,킹콩,8.7,"['액션', '판타지', '어드벤처']",피터 잭슨,['나오미 왓츠'],액션 판타지 어드벤처,피터잭슨,나오미왓츠
130,홀리데이,9.0,"['액션', '드라마']",양윤호,"['이성재', '최민수']",액션 드라마,양윤호,이성재 최민수
131,중천,6.4,"['로맨스', '멜로', '액션', '판타지']",조동오,"['정우성', '김태희']",로맨스 멜로 액션 판타지,조동오,정우성 김태희
132,싸움의 기술,7.9,"['코미디', '액션']",신한솔,"['백윤식', '재희']",코미디 액션,신한솔,백윤식 재희
133,몬스터 하우스,7.5,"['코미디', '공포', '어드벤처', '애니메이션']",길 키넌,"['미첼 무소', '샘 러너', '스펜서 로크']",코미디 공포 어드벤처 애니메이션,길키넌,미첼무소 샘러너 스펜서로크
134,짝패,7.3,"['액션', '드라마']",류승완,"['류승완', '정두홍', '이범수']",액션 드라마,류승완,류승완 정두홍 이범수
135,로맨틱 홀리데이,8.5,"['코미디', '로맨스', '멜로']",낸시 마이어스,"['카메론 디아즈', '케이트 윈슬렛', '주드 로', '잭 블랙']",코미디 로맨스 멜로,낸시마이어스,카메론디아즈 케이트윈슬렛 주드로 잭블랙
136,아랑,8.1,['공포'],안상훈,"['송윤아', '이동욱']",공포,안상훈,송윤아 이동욱
137,빨간모자의 진실,7.8,"['코미디', '가족', '애니메이션']",코리 에드워즈,X,코미디 가족 애니메이션,코리에드워즈,X
138,데이지,7.2,"['로맨스', '멜로']",유위강,"['정우성', '전지현', '이성재']",로맨스 멜로,유위강,정우성 전지현 이성재
139,오만과 편견,8.7,"['로맨스', '멜로', '드라마']",조 라이트,"['키이라 나이틀리', '매튜 맥퍼딘']",로맨스 멜로 드라마,조라이트,키이라나이틀리 매튜맥퍼딘
140,게이샤의 추억,6.6,"['로맨스', '멜로', '드라마']",롭 마셜,"['장쯔이', '와타나베 켄']",로맨스 멜로 드라마,롭마셜,장쯔이 와타나베켄
141,헷지,8.6,"['코미디', '어드벤처', '애니메이션']",팀 존슨,"['황정민', '신동엽', '브루스 윌리스', '게리 샌드링']",코미디 어드벤처 애니메이션,팀존슨,황정민 신동엽 브루스윌리스 게리샌드링
142,야수,7.9,"['범죄', '액션']",김성수,"['권상우', '유지태']",범죄 액션,김성수,권상우 유지태
143,마음이...,9.0,['드라마'],박은형,"['유승호', '김향기', '달이']",드라마,박은형,유승호 김향기 달이
144,007 카지노 로얄,7.6,"['액션', '어드벤처']",마틴 캠벨,"['다니엘 크레이그', '에바 그린']",액션 어드벤처,마틴캠벨,다니엘크레이그 에바그린
145,예의없는 것들,7.9,"['코미디', '범죄']",박철희,['신하균'],코미디 범죄,박철희,신하균
146,방과후 옥상,7.3,['코미디'],이석훈,"['봉태규', '진태현', '정윤조', '하석진']",코미디,이석훈,봉태규 진태현 정윤조 하석진
147,일본침몰,3.1,"['어드벤처', '드라마']",히구치 신지,"['쿠사나기 츠요시', '시바사키 코우']",어드벤처 드라마,히구치신지,쿠사나기츠요시 시바사키코우
148,뮌헨,7.2,"['스릴러', '드라마']",스티븐 스필버그,['에릭 바나'],스릴러 드라마,스티븐스필버그,에릭바나
149,무극,6.2,"['액션', '판타지']",첸 카이거,"['장동건', '장백지']",액션 판타지,첸카이거,장동건 장백지
150,디워,8.4,"['SF', '판타지']",심형래,"['제이슨 베어', '아만다 브룩스']",SF 판타지,심형래,제이슨베어 아만다브룩스
151,트랜스포머,9.0,['액션'],마이클 베이,"['샤이아 라보프', '메간 폭스', '조쉬 더하멜']",액션,마이클베이,샤이아라보프 메간폭스 조쉬더하멜
152,화려한 휴가,8.7,['드라마'],김지훈,"['김상경', '안성기', '이요원', '이준기']",드라마,김지훈,김상경 안성기 이요원 이준기
153,스파이더맨 3,7.5,"['액션', '스릴러', 'SF']",샘 레이미,"['토비 맥과이어', '커스틴 던스트']",액션 스릴러 SF,샘레이미,토비맥과이어 커스틴던스트
154,캐리비안의 해적: 세상의 끝에서,8.9,['어드벤처'],고어 버빈스키,"['조니 뎁', '올랜도 블룸', '키이라 나이틀리']",어드벤처,고어버빈스키,조니뎁 올랜도블룸 키이라나이틀리
155,해리 포터와 불사조 기사단,8.2,"['판타지', '어드벤처']",데이빗 예이츠,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",판타지 어드벤처,데이빗예이츠,다니엘래드클리프 엠마왓슨 루퍼트그린트
156,다이 하드 4 : 죽어도 산다,8.6,"['액션', '스릴러']",렌 와이즈먼,"['브루스 윌리스', '저스틴 롱', '매기 큐']",액션 스릴러,렌와이즈먼,브루스윌리스 저스틴롱 매기큐
157,그놈 목소리,7.9,['드라마'],박진표,"['설경구', '김남주']",드라마,박진표,설경구 김남주
158,식객,8.5,['드라마'],전윤수,"['김강우', '임원희', '이하나']",드라마,전윤수,김강우 임원희 이하나
